# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 590  of event 'cycles:u'
# Event count (approx.): 2500622150
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.28%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    15.06%  sqgi     sqgi                          [.] SQVM::Execute
     5.08%  sqgi     sqgi                          [.] SQTable::Get
     4.83%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.46%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     4.23%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     2.96%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2056214
     2.72%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.13%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.49%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20592dc
     1.45%  sqgi     sqgi                          [.] SQTable::Set
     1.27%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.27%  sqgi     sqgi                          [.] SQVM::FallBackGet
     1.27%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.27%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.09%  sqgi     sqgi                          [.] SQVM::Set
     1.09%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20591d4
     1.07%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20561a0
     1.07%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20563b0
     1.06%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb205665c
     0.90%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2056734
     0.87%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20592b0
     0.73%  sqgi     sqgi                          [.] SQVM::Get
     0.73%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.72%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2057218
     0.71%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2056224
     0.70%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb205616c
     0.70%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb205617c
     0.68%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20562f0
     0.55%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     0.55%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20592c8
     0.54%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2058264
     0.54%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2059238
     0.54%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb20572c0
     0.54%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2058354
     0.54%  sqgi     [JIT] tid 514271              [.] 0x0000ffffb2056384
     0.53%  sqgi     sqgi                          [.] sqjit_write_log_ensure


#
# (Cannot load tips.txt file, please install perf!)
#
