# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 321  of event 'cycles:u'
# Event count (approx.): 1364938530
#
# Overhead  Command  Shared Object                 Symbol                                                                               
# ........  .......  ............................  .....................................................................................
#
    16.52%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     6.60%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     2.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc240
     1.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc38b8
     1.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc37fc
     1.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3394
     1.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc374c
     1.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf2b0
     1.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc260
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc1e8
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc254
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3684
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3754
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3698
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe30c
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc38cc
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabd190
     1.33%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc4368
     1.25%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc51d4
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc35d4
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc35c4
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf2c8
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc35c8
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc434c
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf284
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc44e8
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf1d4
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc268
     1.00%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe23c
     0.99%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe2e8
     0.99%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc42a8
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc38c4
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc336c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc38b4
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc4430
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe210
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3520
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf22c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe1f4
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc1d4
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc34fc
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc4258
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc4450
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe220
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc345c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3570
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc429c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc350c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc440c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3464
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabd288
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabf29c
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe304
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc3450
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe198
     0.67%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabc1a0
     0.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabd1ec
     0.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fabe2f8
     0.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc44cc
     0.66%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc441c
     0.65%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc51bc
     0.61%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc5178
     0.50%  sqgi     [JIT] tid 514562              [.] 0x0000ffff9fcc5128


#
# (Cannot load tips.txt file, please install perf!)
#
