# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11322712624
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                                                       
# ........  .......  .....................  .............................................................................................................................................................................................
#
    19.30%  sqgi     sqgi                   [.] SQVM::Execute
     3.70%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.73%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb89ff230
     2.48%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a02240
     2.09%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a01268
     2.05%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.87%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a021d4
     1.85%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a011ac
     1.81%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb89ff1c0
     1.81%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a001b4
     1.75%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a021c0
     1.73%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb89ff244
     1.57%  sqgi     sqgi                   [.] SQTable::Get
     1.53%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a011c0
     1.52%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a001a0
     1.29%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.12%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.08%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a01254
     1.08%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a02210
     1.04%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a01270
     1.04%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a001bc
     0.92%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb89ff274
     0.92%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a01238
     0.92%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.87%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a0222c
     0.84%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a02248
     0.84%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.83%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a021f8
     0.80%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a01224
     0.76%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb89ff258
     0.68%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a05244
     0.68%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.67%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.64%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a001a4
     0.57%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.56%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a05224
     0.56%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.52%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a04264
     0.52%  sqgi     [JIT] tid 514201       [.] 0x0000ffffb8a042e0
     0.52%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>


#
# (Cannot load tips.txt file, please install perf!)
#
