# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6278296413
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    56.45%  sqgi     sqgi                   [.] SQVM::Execute
     7.82%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     4.05%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.39%  sqgi     sqgi                   [.] SQTable::Get
     2.24%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.17%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.17%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.59%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.23%  sqgi     sqgi                   [.] SQVM::Return
     1.23%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.23%  sqgi     sqgi                   [.] SQVM::StartCall
     1.16%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.87%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.80%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.80%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.72%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.65%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.51%  sqgi     sqgi                   [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
