# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9349982028
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    41.01%  sqgi     sqgi                   [.] SQVM::Execute
     8.85%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.55%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     5.54%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.88%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.79%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.81%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.63%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.53%  sqgi     sqgi                   [.] SQVM::StartCall
     2.27%  sqgi     sqgi                   [.] SQVM::Return
     2.14%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.04%  sqgi     sqgi                   [.] SQVM::ObjCmp
     2.04%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.64%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.22%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.00%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.95%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.83%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.78%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.73%  sqgi     sqgi                   [.] sqjit_context
     0.73%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.68%  sqgi     sqgi                   [.] sqjit_native_precheck
     0.63%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.53%  sqgi     libc.so.6              [.] __memset_zva64
     0.53%  sqgi     sqgi                   [.] sqjit_proto_backoff_active


#
# (Cannot load tips.txt file, please install perf!)
#
