# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9903488014
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    15.65%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    12.81%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
    10.93%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)17, false>
     7.72%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     7.26%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     5.49%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     4.41%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.00%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     3.89%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.11%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     2.89%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     2.71%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.66%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.93%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.29%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.92%  sqgi     [JIT] tid 514377              [.] 0x0000ffffba4bb97c
     0.87%  sqgi     sqgi                          [.] SQVM::IsFalse


#
# (Cannot load tips.txt file, please install perf!)
#
