# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 381  of event 'cycles:u'
# Event count (approx.): 1572850920
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    18.51%  sqgi     sqgi                   [.] SQVM::Execute
     6.27%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     5.71%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     5.17%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     4.63%  sqgi     sqgi                   [.] sqjit_try_execute_current
     4.05%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.05%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     3.76%  sqgi     sqgi                   [.] SQVM::Return
     3.18%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.18%  sqgi     sqgi                   [.] SQVM::StartCall
     2.89%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     2.31%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.31%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.31%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     2.03%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     2.02%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab861bc
     1.89%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     1.74%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     1.45%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.45%  sqgi     sqgi                   [.] sqjit_context
     1.45%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab87280
     1.44%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     1.44%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.14%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab89210
     0.87%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.87%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.87%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.86%  sqgi     sqgi                   [.] sqjit_loop_backoff_active
     0.58%  sqgi     sqgi                   [.] sqjit_native_precheck
     0.58%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab86208
     0.58%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.58%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab87154
     0.58%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab87268
     0.58%  sqgi     [JIT] tid 514302       [.] 0x0000ffff9ab86190


#
# (Cannot load tips.txt file, please install perf!)
#
