# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 579  of event 'cycles:u'
# Event count (approx.): 2525810978
#
# Overhead  Command  Shared Object            Symbol                                        
# ........  .......  .......................  ..............................................
#
    13.89%  sqgi     sqgi                     [.] SQVM::Execute
    12.69%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     6.61%  sqgi     sqgi                     [.] sqjit_a64_helper_array_get_object
     5.95%  sqgi     sqgi                     [.] SQTable::Get
     4.64%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     4.10%  sqgi     sqgi                     [.] sqjit_a64_root_fallback_safe
     3.72%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     2.57%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f9214
     2.32%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fc2fc
     2.30%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     1.80%  sqgi     sqgi                     [.] SQVM::DerefInc
     1.43%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f93b0
     1.26%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.23%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     1.22%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f91f8
     1.08%  sqgi     sqgi                     [.] SQTable::Set
     1.08%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     1.07%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f91a0
     0.90%  sqgi     sqgi                     [.] SQVM::Get
     0.90%  sqgi     sqgi                     [.] SQVM::Set
     0.87%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f92f0
     0.86%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fc1f4
     0.72%  sqgi     sqgi                     [.] SQVM::FallBackGet
     0.72%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fa368
     0.71%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f92ac
     0.70%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fc2d0
     0.70%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6f9228
     0.54%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fa2e0
     0.54%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fa37c
     0.54%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.54%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fb284
     0.54%  sqgi     [JIT] tid 606353         [.] 0x0000ffffae6fa218


#
# (Cannot load tips.txt file, please install perf!)
#
