# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 348  of event 'cycles:u'
# Event count (approx.): 1439333438
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                            
# ........  .......  .....................  ..................................................................................................................................................................
#
    13.56%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     7.58%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.22%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec214
     1.58%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec294
     1.58%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec228
     1.58%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4568
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f38e8
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4570
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ed1b0
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f339c
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3578
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ee34c
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ee344
     1.27%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec280
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ee240
     1.27%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3638
     1.26%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef2d0
     1.06%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f51f4
     1.00%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f5208
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f380c
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3980
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f38f0
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f349c
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3730
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f43a8
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f39c4
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f439c
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3800
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ed2a8
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3738
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3654
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f42d0
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f42ac
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3714
     0.95%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef2a4
     0.84%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f5200
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f33b4
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3724
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f39cc
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef25c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f34a4
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4374
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec2a8
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f355c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3644
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f356c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4360
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef2fc
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef24c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f455c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ec230
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ee214
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4228
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f42c8
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ed20c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ef2e8
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f0ee230
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f4294
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f365c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f447c
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3854
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3480
     0.63%  sqgi     [JIT] tid 606667       [.] 0x0000ffff9f2f3490


#
# (Cannot load tips.txt file, please install perf!)
#
