# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11397789323
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    19.35%  sqgi     sqgi                   [.] SQVM::Execute
     5.32%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.41%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b1230
     2.84%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b21d4
     2.24%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b3288
     2.12%  sqgi     sqgi                   [.] SQTable::Get
     2.11%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b41e0
     2.01%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b4260
     1.92%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b21c0
     1.76%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b31cc
     1.76%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.72%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b11c0
     1.40%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b3258
     1.40%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b41f4
     1.36%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b31e0
     1.28%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.20%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b421c
     1.04%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b1244
     1.00%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b1258
     0.96%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b424c
     0.96%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b3290
     0.87%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b4268
     0.84%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.80%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b3244
     0.78%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b4230
     0.76%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b3274
     0.76%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b21c4
     0.76%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b7244
     0.76%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b4208
     0.72%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.68%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.64%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.56%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b6264
     0.56%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b62e0
     0.52%  sqgi     [JIT] tid 606307       [.] 0x0000ffff960b21dc
     0.52%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17


#
# (Cannot load tips.txt file, please install perf!)
#
