# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5968269082
#
# Overhead  Command  Shared Object          Symbol                                                                                                           
# ........  .......  .....................  .................................................................................................................
#
    59.35%  sqgi     sqgi                   [.] SQVM::Execute
     3.36%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     3.06%  sqgi     sqgi                   [.] SQTable::Get
     2.72%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.44%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.14%  sqgi     sqgi                   [.] sqjit_try_execute_current
     1.83%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.45%  sqgi     sqgi                   [.] SQVM::Return
     1.45%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.37%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.22%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.99%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.92%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.88%  sqgi     sqgi                   [.] SQVM::StartCall
     0.84%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.76%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.69%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.61%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.61%  sqgi     sqgi                   [.] sqjit_context
     0.61%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.53%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.53%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged


#
# (Cannot load tips.txt file, please install perf!)
#
