# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8023092397
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    46.66%  sqgi     sqgi                          [.] SQVM::Execute
     7.96%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.63%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.58%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.56%  sqgi     sqgi                          [.] SQVM::StartCall
     2.50%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.27%  sqgi     sqgi                          [.] SQVM::Return
     2.22%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.22%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.93%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.42%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.19%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.14%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.08%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.02%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.02%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.91%  sqgi     sqgi                          [.] sqjit_native_precheck
     0.85%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.80%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.80%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.63%  sqgi     sqgi                          [.] sqjit_context
     0.57%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.51%  sqgi     sqgi                          [.] SQObjectPtr::operator=


#
# (Cannot load tips.txt file, please install perf!)
#
