# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4533252358
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    11.87%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
    10.56%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.47%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.81%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4340
     1.61%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb38dc
     1.61%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3498
     1.41%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb41cc
     1.38%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4a80
     1.29%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb46c0
     1.28%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb336c
     1.21%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4ad4
     1.21%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb353c
     1.19%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb43c0
     1.11%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb39a0
     1.01%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb411c
     0.91%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3258
     0.91%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3c7c
     0.90%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb38ec
     0.81%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb36bc
     0.80%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb376c
     0.80%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb34e4
     0.78%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb44a0
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb41d8
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb32dc
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb32b0
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4228
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4a2c
     0.70%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb34f4
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb479c
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb36e8
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb43d0
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3480
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3750
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb44dc
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3ddc
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4610
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb33c8
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb45a0
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3248
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3c14
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb34a8
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb46b8
     0.60%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4204
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4124
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3f88
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3f34
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4410
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4490
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3b90
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3e34
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3268
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb392c
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb49c0
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3c80
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb31b4
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb4130
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb33cc
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb429c
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3d3c
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb35f4
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb41d4
     0.50%  sqgi     [JIT] tid 606516              [.] 0x0000ffff7fcb3c1c


#
# (Cannot load tips.txt file, please install perf!)
#
