# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 221  of event 'cycles:u'
# Event count (approx.): 886343091
#
# Overhead  Command  Shared Object          Symbol                                                                                   
# ........  .......  .....................  .........................................................................................
#
    12.85%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
    11.07%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    11.02%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    10.28%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     7.71%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     7.42%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     7.20%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     2.46%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401f230
     2.06%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401e1f8
     2.06%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c1dc
     2.02%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     1.54%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d174
     1.32%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d2c0
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d1b4
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d15c
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d260
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c240
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d2a0
     1.03%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d27c
     0.98%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401f258
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401e1cc
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c21c
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d288
     0.51%  sqgi     libc.so.6              [.] __mpn_mul
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d21c
     0.51%  sqgi     sqgi                   [.] SQTable::Release
     0.51%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c1b0
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c228
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d1fc
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401f190
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d24c
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401e1b0
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d200
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d270
     0.51%  sqgi     sqgi                   [.] SQVM::Execute
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401d1ac
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401c13c
     0.51%  sqgi     [JIT] tid 606396       [.] 0x0000ffff8401f1b4


#
# (Cannot load tips.txt file, please install perf!)
#
