# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 877  of event 'cycles:u'
# Event count (approx.): 3328374238
#
# Overhead  Command  Shared Object          Symbol                                       
# ........  .......  .....................  .............................................
#
    11.16%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    10.97%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
    10.58%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
     7.53%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_append_integer
     7.28%  sqgi     sqgi                   [.] SQJitWriteLog::PublishStackWrite
     5.93%  sqgi     sqgi                   [.] SQJitWriteLog::CountPins
     5.58%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_get_object_raw
     4.83%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     4.00%  sqgi     sqgi                   [.] sqjit_a64_helper_finish_stack_write
     3.57%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd336c
     3.45%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3194
     3.11%  sqgi     sqgi                   [.] sqjit_a64_helper_publish_stack_write
     2.86%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd33e8
     2.72%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     2.06%  sqgi     sqgi                   [.] SQArray::Release
     1.87%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3400
     1.84%  sqgi     sqgi                   [.] SQJitWriteLog::BeginStackWrite
     1.62%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd339c
     0.72%  sqgi     [unknown]              [k] 0xffff8000080188fc
     0.55%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3280
     0.52%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3454
     0.52%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3330
     0.48%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3118
     0.46%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd30f8
     0.41%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd338c
     0.41%  sqgi     sqgi                   [.] sqjit_a64_helper_begin_stack_write
     0.41%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd31b8
     0.40%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd32d8
     0.40%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd325c
     0.29%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3120
     0.27%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd32cc
     0.27%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd327c
     0.26%  sqgi     [JIT] tid 678029       [.] 0x0000ffffaefd3284


#
# (Cannot load tips.txt file, please install perf!)
#
