# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 637  of event 'cycles:u'
# Event count (approx.): 2294916507
#
# Overhead  Command  Shared Object          Symbol                                       
# ........  .......  .....................  .............................................
#
    16.41%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
    10.21%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_append_integer
     8.82%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_get_object_raw
     8.70%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
     7.61%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7160
     5.61%  sqgi     sqgi                   [.] sqjit_a64_helper_finish_stack_write
     4.73%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     4.69%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec73b4
     4.64%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7338
     3.49%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec73cc
     3.24%  sqgi     sqgi                   [.] SQJitWriteLog::BeginStackWrite
     3.13%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     2.97%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     2.17%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7368
     2.00%  sqgi     sqgi                   [.] SQArray::Release
     1.13%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec70f8
     1.11%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec70ec
     1.09%  sqgi     [unknown]              [k] 0xffff8000080188fc
     0.89%  sqgi     sqgi                   [.] sqjit_a64_helper_begin_stack_write
     0.80%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec724c
     0.80%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7250
     0.60%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec72ec
     0.52%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec72fc
     0.40%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7420
     0.40%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec72dc
     0.40%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec7248
     0.38%  sqgi     [JIT] tid 678004       [.] 0x0000ffffbaec72f4


#
# (Cannot load tips.txt file, please install perf!)
#
