# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 547  of event 'cycles:u'
# Event count (approx.): 2400041315
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    15.41%  sqgi     sqgi                   [.] SQVM::Execute
    14.90%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     6.24%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     5.90%  sqgi     sqgi                   [.] SQTable::Get
     4.66%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     4.10%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     3.39%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     1.65%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.52%  sqgi     sqgi                   [.] SQVM::DerefInc
     1.49%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.38%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c51d4
     1.31%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf3b0
     1.24%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c52dc
     1.14%  sqgi     sqgi                   [.] SQVM::Get
     1.14%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.14%  sqgi     sqgi                   [.] SQVM::FallBackGet
     1.11%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf214
     0.95%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.95%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c335c
     0.95%  sqgi     sqgi                   [.] SQVM::Set
     0.94%  sqgi     sqgi                   [.] SQTable::Set
     0.93%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf1a0
     0.93%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf65c
     0.76%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     0.76%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c4364
     0.76%  sqgi     sqgi                   [.] SQJitWriteLog::Bucket
     0.75%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebe4d4
     0.70%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf2f0
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c31f8
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c4380
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c51f4
     0.57%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c5268
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf16c
     0.57%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.57%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf1f8
     0.55%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf40c
     0.55%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf500
     0.55%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb1ebf734
     0.53%  sqgi     [JIT] tid 675137       [.] 0x0000ffffb20c52e4


#
# (Cannot load tips.txt file, please install perf!)
#
