# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 197  of event 'cycles:u'
# Event count (approx.): 744725340
#
# Overhead  Command  Shared Object                 Symbol                             
# ........  .......  ............................  ...................................
#
     7.33%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e6164
     6.75%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea764
     6.73%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e91e4
     6.13%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea4e8
     6.03%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb244
     5.52%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea414
     5.52%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea690
     5.23%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ec164
     4.91%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea5bc
     4.29%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea90c
     3.67%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e72a0
     3.07%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea838
     2.45%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8198
     1.83%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e7164
     1.22%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e832c
     1.22%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb38c
     1.22%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb540
     1.22%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea350
     1.22%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e81ec
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e9280
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea6d0
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8324
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea40c
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e834c
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8164
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea61c
     0.61%  sqgi     libgirepository-1.0.so.1.0.0  [.] g_callable_info_get_return_type
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e92c0
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb394
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb1d4
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e7200
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea474
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8320
     0.61%  sqgi     libc.so.6                     [.] cfree@GLIBC_2.17
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb4c4
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e710c
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e819c
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2ea370
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e82cc
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e9264
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e71e0
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8348
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e830c
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb464
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb444
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e8328
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e7274
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb3a4
     0.61%  sqgi     sqgi                          [.] native_sqrt
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb4c0
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e9224
     0.61%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2e9204
     0.60%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb53c
     0.60%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb388
     0.60%  sqgi     [JIT] tid 675317              [.] 0x0000ffff8f2eb478


#
# (Cannot load tips.txt file, please install perf!)
#
