# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9854086297
#
# Overhead  Command  Shared Object                 Symbol                                                                                   
# ........  .......  ............................  .........................................................................................
#
    23.79%  sqgi     sqgi                          [.] SQVM::Execute
    10.17%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b3164
     6.68%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b2164
     4.55%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b1164
     3.62%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b0230
     2.41%  sqgi     sqgi                          [.] SQTable::Get
     1.81%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b01c0
     1.44%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.39%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b0244
     1.25%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b0274
     1.16%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b0258
     1.02%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     0.74%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b6244
     0.74%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b6224
     0.70%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b52e0
     0.65%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b223c
     0.60%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b2200
     0.59%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.56%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     0.56%  sqgi     [JIT] tid 675107              [.] 0x0000ffffb06b5274
     0.51%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.51%  sqgi     libm.so.6                     [.] __sin
     0.51%  sqgi     sqgi                          [.] SQJitWriteLog::Contains


#
# (Cannot load tips.txt file, please install perf!)
#
