# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5569276893
#
# Overhead  Command  Shared Object            Symbol                                                                                                                        
# ........  .......  .......................  ..............................................................................................................................
#
    22.23%  sqgi     sqgi                     [.] SQVM::Execute
     9.49%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     4.35%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.53%  sqgi     sqgi                     [.] SQJitWriteLog::CanReleaseInContext
     2.76%  sqgi     sqgi                     [.] sqjit_try_execute_current
     2.46%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.46%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.45%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.13%  sqgi     sqgi                     [.] sqjit_number_conversion_guard
     1.89%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     1.80%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.80%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     1.72%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     1.72%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     1.64%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.48%  sqgi     sqgi                     [.] SQVM::IsFalse
     1.48%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     1.39%  sqgi     sqgi                     [.] SQVM::Return
     1.15%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.07%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     1.07%  sqgi     sqgi                     [.] SQVM::StartCall
     1.07%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.98%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     0.90%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     0.90%  sqgi     sqgi                     [.] SQTable::Get
     0.82%  sqgi     sqgi                     [.] sqjit_a64_helper_array_set_float_logged
     0.74%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.66%  sqgi     [JIT] tid 675206         [.] 0x0000ffffa51016b4
     0.66%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     0.57%  sqgi     sqgi                     [.] sqjit_context
     0.57%  sqgi     [JIT] tid 675206         [.] 0x0000ffffa51012f8
     0.57%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)15, false>


#
# (Cannot load tips.txt file, please install perf!)
#
