# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8033370341
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    46.31%  sqgi     sqgi                          [.] SQVM::Execute
     9.72%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.12%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.33%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     3.18%  sqgi     sqgi                          [.] SQVM::Return
     2.67%  sqgi     sqgi                          [.] SQVM::StartCall
     2.61%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.50%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     2.33%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.76%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.48%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.08%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.08%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     1.07%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     1.02%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.02%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.89%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.85%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.85%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.74%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.63%  sqgi     sqgi                          [.] sqjit_context


#
# (Cannot load tips.txt file, please install perf!)
#
