# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4580157905
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    10.34%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     9.83%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     5.49%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     2.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf340
     1.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf6c0
     1.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be498
     1.39%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be76c
     1.20%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bfa80
     1.20%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf3c0
     1.10%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf130
     1.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be4e4
     1.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf1d4
     1.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf1cc
     1.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be36c
     1.00%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be750
     0.90%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be2b0
     0.90%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be9a0
     0.90%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bec14
     0.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf490
     0.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf11c
     0.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be674
     0.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bee14
     0.80%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bed3c
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be494
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bed44
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf350
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf978
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be8dc
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be53c
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf1d8
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be268
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bfa2c
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bfad4
     0.70%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be248
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be258
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf204
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf124
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be18c
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf970
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf610
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bec1c
     0.60%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41beec8
     0.59%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41be6bc
     0.58%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41beddc
     0.55%  sqgi     [JIT] tid 675231              [.] 0x0000ffffb41bf1fc


#
# (Cannot load tips.txt file, please install perf!)
#
