# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 216  of event 'cycles:u'
# Event count (approx.): 883960503
#
# Overhead  Command  Shared Object               Symbol                                                
# ........  .......  ..........................  ......................................................
#
    12.27%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
    10.84%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
    10.77%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     9.80%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     9.74%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     5.68%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_reference_logged
     4.13%  sqgi     sqgi                        [.] sqjit_a64_resolve_root_store_slot
     3.22%  sqgi     sqgi                        [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.09%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb1dc
     2.80%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc214
     2.50%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc254
     2.07%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b91c0
     2.07%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba18c
     1.55%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba234
     1.03%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba250
     1.03%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb200
     1.03%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba1bc
     1.03%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9224
     1.03%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba25c
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba1dc
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9194
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9200
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba154
     0.52%  sqgi     sqgi                        [.] SQJitWriteLog::OwnerBucket
     0.52%  sqgi     sqgi                        [.] sq_bytecode_facts
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9158
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb15c
     0.52%  sqgi     sqgi                        [.] sqjit_write_log_ensure
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba240
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb174
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc210
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba268
     0.52%  sqgi     sqgi                        [.] SQStringTable::Remove
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc1d4
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9114
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb1d4
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bb1b0
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947ba280
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9134
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b91b4
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc1b0
     0.52%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947bc15c
     0.51%  sqgi     [JIT] tid 675184            [.] 0x0000ffff947b9178


#
# (Cannot load tips.txt file, please install perf!)
#
