# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 579  of event 'cycles:u'
# Event count (approx.): 2466351361
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    16.48%  sqgi     sqgi                          [.] SQVM::Execute
    14.45%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     6.16%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     5.37%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.80%  sqgi     sqgi                          [.] SQTable::Get
     4.34%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     3.32%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.49%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d186214
     1.74%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1892dc
     1.64%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1861a0
     1.60%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1891d4
     1.48%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.47%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.29%  sqgi     sqgi                          [.] SQTable::Set
     1.28%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.10%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.07%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1863b0
     1.06%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1862f0
     0.92%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.92%  sqgi     sqgi                          [.] SQVM::Get
     0.92%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1892c8
     0.74%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.74%  sqgi     sqgi                          [.] SQVM::Set
     0.73%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d186734
     0.55%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d188380
     0.55%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d189238
     0.55%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1892b0
     0.55%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d188364
     0.55%  sqgi     sqgi                          [.] SQVM::InvokeDefaultDelegate
     0.55%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d18665c
     0.54%  sqgi     [JIT] tid 506820              [.] 0x0000ffff9d1861f8


#
# (Cannot load tips.txt file, please install perf!)
#
