# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 326  of event 'cycles:u'
# Event count (approx.): 1357235706
#
# Overhead  Command  Shared Object                 Symbol                                          
# ........  .......  ............................  ................................................
#
    15.74%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     9.92%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.68%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5740
     1.68%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b422c
     1.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4fae1d4
     1.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4fae1e8
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5394
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b550c
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b6428
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b55dc
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b58b8
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4fae240
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b429c
     1.34%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b641c
     1.20%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b71bc
     1.09%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b71d4
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b635c
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b32f8
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b58c4
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b57f8
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b423c
     1.01%  sqgi     sqgi                          [.] native_sqrt
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b4284
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b3220
     1.01%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b53a8
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5684
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4faf190
     1.00%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b6368
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b545c
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b55b8
     1.00%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b64dc
     0.94%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b71e0
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5808
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b6208
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b63c0
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5464
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b55d4
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b574c
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5690
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b42dc
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b6358
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5484
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4fae268
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4fae260
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4faf1e4
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4faf288
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b41d4
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b5754
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b64e8
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b3210
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b58a8
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b42b0
     0.67%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa4faf280
     0.66%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b629c
     0.61%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b7158
     0.53%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b71e8
     0.50%  sqgi     [JIT] tid 507275              [.] 0x0000ffffa51b71c4


#
# (Cannot load tips.txt file, please install perf!)
#
