# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11471392385
#
# Overhead  Command  Shared Object                 Symbol                                           
# ........  .......  ............................  .................................................
#
    19.45%  sqgi     sqgi                          [.] SQVM::Execute
     5.83%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.94%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d5230
     2.56%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d8240
     2.46%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d7268
     2.14%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.87%  sqgi     sqgi                          [.] SQTable::Get
     1.75%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d5244
     1.74%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d81d4
     1.71%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d61b4
     1.65%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d81c0
     1.39%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d51c0
     1.39%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d71ac
     1.35%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d61a0
     1.31%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d71c0
     1.26%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.19%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d7254
     1.15%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d5258
     1.11%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.03%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.03%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     0.95%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d822c
     0.91%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d61bc
     0.91%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d8248
     0.79%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d5274
     0.72%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d7238
     0.68%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.64%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d8210
     0.64%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d7270
     0.64%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.60%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47db244
     0.60%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.60%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d61a4
     0.60%  sqgi     sqgi                          [.] SQJitWriteLog::Contains
     0.51%  sqgi     [JIT] tid 506722              [.] 0x0000ffffb47d81f8


#
# (Cannot load tips.txt file, please install perf!)
#
