# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6660875694
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    51.18%  sqgi     sqgi                   [.] SQVM::Execute
     6.29%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     4.17%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     3.62%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     3.01%  sqgi     sqgi                   [.] SQTable::Get
     2.54%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.19%  sqgi     sqgi                   [.] sqjit_try_execute_current
     1.84%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.45%  sqgi     sqgi                   [.] SQVM::Return
     1.37%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.30%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.23%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.23%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.02%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     0.96%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.82%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.75%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.68%  sqgi     sqgi                   [.] SQVM::Get
     0.68%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.61%  sqgi     [JIT] tid 506945       [.] 0x0000ffffad048684
     0.61%  sqgi     sqgi                   [.] SQVM::StartCall
     0.55%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
