# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 10936582775
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    32.52%  sqgi     sqgi                   [.] SQVM::Execute
    10.74%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     8.21%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.24%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     5.15%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     4.12%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.87%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.83%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     2.58%  sqgi     sqgi                   [.] SQVM::Return
     2.20%  sqgi     sqgi                   [.] SQVM::StartCall
     1.83%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.75%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.62%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.37%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.37%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.21%  sqgi     sqgi                   [.] SQJitWriteLog::SQJitWriteLog
     1.21%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.79%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.79%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.75%  sqgi     sqgi                   [.] sqjit_context
     0.71%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.62%  sqgi     libc.so.6              [.] __memset_zva64
     0.62%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.52%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected


#
# (Cannot load tips.txt file, please install perf!)
#
