# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 10622866933
#
# Overhead  Command  Shared Object            Symbol                                         
# ........  .......  .......................  ...............................................
#
    14.79%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    14.70%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
    11.10%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     8.54%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)17, false>
     7.89%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     6.37%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.67%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     3.69%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     3.42%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.87%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     2.61%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.09%  sqgi     sqgi                     [.] SQVM::ARITH_OP
     1.65%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.63%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.41%  sqgi     [JIT] tid 507088         [.] 0x0000ffff8c403990
     0.94%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.85%  sqgi     sqgi                     [.] SQVM::IsFalse


#
# (Cannot load tips.txt file, please install perf!)
#
