# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 395  of event 'cycles:u'
# Event count (approx.): 1675025934
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    27.19%  sqgi     sqgi                   [.] SQVM::Execute
     6.25%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     4.70%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     4.62%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     4.61%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     4.59%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     4.08%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.72%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.45%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     2.45%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     2.44%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     2.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.90%  sqgi     sqgi                   [.] SQVM::Return
     1.90%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     1.90%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.63%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     1.36%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     1.36%  sqgi     sqgi                   [.] SQJitWriteLog::SQJitWriteLog
     1.26%  sqgi     [JIT] tid 506924       [.] 0x0000ffffacb35210
     1.09%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.09%  sqgi     sqgi                   [.] sqjit_context
     1.09%  sqgi     [JIT] tid 506924       [.] 0x0000ffffacb3318c
     1.08%  sqgi     [JIT] tid 506924       [.] 0x0000ffffac92f1bc
     1.02%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     0.82%  sqgi     sqgi                   [.] SQVM::StartCall
     0.82%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.54%  sqgi     [JIT] tid 506924       [.] 0x0000ffffacb33268
     0.54%  sqgi     [JIT] tid 506924       [.] 0x0000ffffacb331ac
     0.54%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.54%  sqgi     [JIT] tid 506924       [.] 0x0000ffffac92f220
     0.54%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.54%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.54%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.54%  sqgi     sqgi                   [.] sqjit_write_log_init_frame
     0.54%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.54%  sqgi     [JIT] tid 506924       [.] 0x0000ffffacb33280
     0.50%  sqgi     sqgi                   [.] sqjit_compile_setter_proto


#
# (Cannot load tips.txt file, please install perf!)
#
