# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 568  of event 'cycles:u'
# Event count (approx.): 2495563275
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    16.71%  sqgi     sqgi                          [.] SQVM::Execute
    12.65%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     5.06%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     5.00%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     4.52%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.44%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.37%  sqgi     sqgi                          [.] SQTable::Get
     2.66%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     2.47%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c7214
     1.82%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.81%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.58%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6ca2dc
     1.26%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c73b0
     1.25%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c71f8
     1.24%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c765c
     1.09%  sqgi     sqgi                          [.] SQTable::Set
     0.91%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.91%  sqgi     sqgi                          [.] SQVM::DerefInc
     0.91%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c71a0
     0.90%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c716c
     0.89%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c72f0
     0.88%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c741c
     0.73%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6ca268
     0.73%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.73%  sqgi     sqgi                          [.] SQVM::Set
     0.72%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c7734
     0.69%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6ca1f4
     0.55%  sqgi     sqgi                          [.] SQVM::Get
     0.54%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c64d4
     0.54%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c71c0
     0.53%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6c717c
     0.52%  sqgi     [JIT] tid 528500              [.] 0x0000ffff9b6ca1d4


#
# (Cannot load tips.txt file, please install perf!)
#
