# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 326  of event 'cycles:u'
# Event count (approx.): 1354885450
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    17.44%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     9.09%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff8283f254
     1.89%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a481bc
     1.68%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a464fc
     1.68%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a442f8
     1.68%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46464
     1.68%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a45284
     1.68%  sqgi     [JIT] tid 528859       [.] 0x0000ffff8283f1e8
     1.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a463a0
     1.34%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4650c
     1.34%  sqgi     [JIT] tid 528859       [.] 0x0000ffff8283f1f0
     1.34%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a452dc
     1.34%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a452b0
     1.11%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a481d4
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46810
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46394
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a472a8
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4424c
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4741c
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff8283f240
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a468cc
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a44198
     1.01%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a43190
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a431c8
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a47370
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4735c
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a452c8
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46520
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46518
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a468b8
     1.00%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46684
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4674c
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46438
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46754
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46450
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a47428
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46698
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff8283f260
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a474dc
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46740
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4522c
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a47430
     0.67%  sqgi     sqgi                   [.] native_sqrt
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a44210
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a4430c
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a43288
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a474e8
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a472b0
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a47368
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a45230
     0.67%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a46680
     0.66%  sqgi     [JIT] tid 528859       [.] 0x0000ffff82a481e8


#
# (Cannot load tips.txt file, please install perf!)
#
