# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11323118330
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    19.90%  sqgi     sqgi                   [.] SQVM::Execute
     5.30%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.34%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19ca230
     2.65%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd240
     2.33%  sqgi     sqgi                   [.] SQTable::Get
     2.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.13%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc268
     2.04%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd1c0
     1.84%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd1d4
     1.69%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cb1a0
     1.65%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19ca1c0
     1.65%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cb1b4
     1.61%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.49%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc1ac
     1.41%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19ca244
     1.41%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc1c0
     1.05%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc254
     1.05%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc270
     1.01%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19ca274
     1.01%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.97%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.93%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc238
     0.88%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd22c
     0.84%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cb1bc
     0.80%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd210
     0.76%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cf2e0
     0.72%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19ca258
     0.72%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb1bd3244
     0.68%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd248
     0.68%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cd1f8
     0.60%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cc224
     0.56%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17
     0.56%  sqgi     [JIT] tid 528464       [.] 0x0000ffffb19cb1a4
     0.52%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.52%  sqgi     sqgi                   [.] sqjit_try_execute_current
     0.52%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>


#
# (Cannot load tips.txt file, please install perf!)
#
