# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6315709609
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    56.34%  sqgi     sqgi                   [.] SQVM::Execute
     6.19%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     4.74%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.88%  sqgi     sqgi                   [.] SQTable::Get
     2.52%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.43%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.31%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.73%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.66%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.08%  sqgi     sqgi                   [.] SQVM::Return
     1.01%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.87%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.84%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.79%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     0.72%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged
     0.72%  sqgi     sqgi                   [.] SQVM::StartCall
     0.72%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.65%  sqgi     sqgi                   [.] SQVM::IsEqual
     0.65%  sqgi     sqgi                   [.] SQVM::Get
     0.65%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.50%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.50%  sqgi     sqgi                   [.] sqjit_on_function_enter


#
# (Cannot load tips.txt file, please install perf!)
#
