# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9322738505
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    40.29%  sqgi     sqgi                          [.] SQVM::Execute
     8.35%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.01%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     5.75%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     4.49%  sqgi     sqgi                          [.] sqjit_try_execute_current
     4.05%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     3.52%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     2.64%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.64%  sqgi     sqgi                          [.] SQVM::Return
     2.30%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.05%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.76%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.61%  sqgi     sqgi                          [.] SQVM::StartCall
     1.32%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.22%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.17%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.12%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     1.02%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.93%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.85%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.68%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.59%  sqgi     sqgi                          [.] sqjit_context
     0.58%  sqgi     sqgi                          [.] SQObjectPtr::operator=


#
# (Cannot load tips.txt file, please install perf!)
#
