# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 10134654917
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    15.04%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    12.60%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
    10.45%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)17, false>
     8.84%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     6.82%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.34%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.12%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     4.04%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.37%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     3.05%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     2.91%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     2.69%  sqgi     sqgi                   [.] SQVM::ObjCmp
     2.38%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.81%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.44%  sqgi     [JIT] tid 528606       [.] 0x0000ffff8077697c
     1.39%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)2, false>


#
# (Cannot load tips.txt file, please install perf!)
#
