# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 209  of event 'cycles:u'
# Event count (approx.): 864626274
#
# Overhead  Command  Shared Object            Symbol                                                
# ........  .......  .......................  ......................................................
#
    12.04%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
    11.54%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     9.46%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     8.94%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     8.80%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     7.88%  sqgi     sqgi                     [.] sqjit_a64_resolve_root_store_slot
     7.80%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     4.49%  sqgi     sqgi                     [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.16%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f51bc
     2.10%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f618c
     1.58%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     1.58%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f71d8
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f71ac
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f7244
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f5190
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f7224
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f7138
     1.05%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f81cc
     1.02%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f81ac
     0.86%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f8250
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f7194
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f7170
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f51fc
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f51b0
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f61ac
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f714c
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f6280
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f6234
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f61e0
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f61bc
     0.53%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f5208
     0.53%  sqgi     sqgi                     [.] SQRefCounted::~SQRefCounted
     0.52%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f81ec
     0.52%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f6184
     0.52%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f8184
     0.51%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f8248
     0.50%  sqgi     [JIT] tid 528541         [.] 0x0000ffffa09f8120


#
# (Cannot load tips.txt file, please install perf!)
#
