# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11415007287
#
# Overhead  Command  Shared Object                 Symbol                                                                               
# ........  .......  ............................  .....................................................................................
#
    33.11%  sqgi     sqgi                          [.] SQVM::Execute
    10.46%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13>
     9.67%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     6.88%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9>
     5.42%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14>
     4.75%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1>
     3.66%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.64%  sqgi     sqgi                          [.] SQJitWriteLog::~SQJitWriteLog
     2.24%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.10%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.76%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.60%  sqgi     sqgi                          [.] SQVM::Return
     1.48%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.32%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.08%  sqgi     sqgi                          [.] SQVM::StartCall
     1.04%  sqgi     sqgi                          [.] SQJitWriteLog::SQJitWriteLog
     0.98%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.84%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.80%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.76%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.72%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23>
     0.72%  sqgi     sqgi                          [.] sqjit_write_log_init_frame
     0.72%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.68%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4>
     0.68%  sqgi     sqgi                          [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
