# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11446687119
#
# Overhead  Command  Shared Object          Symbol                                  
# ........  .......  .....................  ........................................
#
    17.31%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13>
    13.27%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    13.00%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9>
    12.47%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14>
     8.04%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)17>
     6.73%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1>
     3.49%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4>
     3.03%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39>
     2.87%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     2.49%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29>
     1.87%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)2>
     1.63%  sqgi     [JIT] tid 501082       [.] 0x0000ffff96e06990
     1.32%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.88%  sqgi     sqgi                   [.] SQVM::CMP_OP


#
# (Cannot load tips.txt file, please install perf!)
#
