# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 573  of event 'cycles:u'
# Event count (approx.): 2468207663
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.60%  sqgi     sqgi                          [.] SQVM::Execute
    11.84%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     5.15%  sqgi     sqgi                          [.] SQTable::Get
     5.14%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.68%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     4.41%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.21%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     3.90%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86445214
     2.21%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.19%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.81%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864451a0
     1.66%  sqgi     sqgi                          [.] SQVM::Set
     1.42%  sqgi     [JIT] tid 486574              [.] 0x0000ffff8644565c
     1.29%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.27%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864453b0
     1.05%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864482dc
     1.05%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864451f8
     0.92%  sqgi     sqgi                          [.] SQTable::Set
     0.92%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86445384
     0.92%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864482c8
     0.90%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     0.88%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864452f0
     0.74%  sqgi     libc.so.6                     [.] memcmp
     0.73%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86447380
     0.72%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86445734
     0.70%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864482e4
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86447264
     0.55%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff8644635c
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86448238
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86445224
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864454c0
     0.55%  sqgi     [JIT] tid 486574              [.] 0x0000ffff864444d4
     0.53%  sqgi     sqgi                          [.] SQJitWriteLog::Index
     0.52%  sqgi     [JIT] tid 486574              [.] 0x0000ffff86448220


#
# (Cannot load tips.txt file, please install perf!)
#
