# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 334  of event 'cycles:u'
# Event count (approx.): 1361738425
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    18.66%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     5.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0750c
     2.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f073a8
     2.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f031e8
     1.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f062b0
     1.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f082b0
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f07808
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f075c8
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f03260
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f03240
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0524c
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0829c
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f05220
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f084e8
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f062c8
     1.33%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f07740
     1.25%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f091bc
     1.02%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f091d4
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0841c
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f075dc
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f077fc
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f07810
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f08430
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f04288
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f078b8
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f041c8
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f04190
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f084d8
     1.00%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f08428
     0.99%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0835c
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f078a0
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f084f0
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f07520
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f082a8
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f07338
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0622c
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f075b8
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f031f0
     0.67%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f06284
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f03178
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f03268
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f078a8
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f075d4
     0.67%  sqgi     sqgi                   [.] native_sqrt
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f073a0
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f075c4
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f05198
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f052e8
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f078c4
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0626c
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f04248
     0.67%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f0629c
     0.66%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f052f8
     0.66%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f041ec
     0.65%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f091ac
     0.62%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f091e8
     0.55%  sqgi     [JIT] tid 486992       [.] 0x0000ffff87f091c4


#
# (Cannot load tips.txt file, please install perf!)
#
