# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11807806051
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    19.29%  sqgi     sqgi                   [.] SQVM::Execute
     5.69%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.74%  sqgi     sqgi                   [.] sqjit_a64_precise_step
     2.73%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd240
     2.70%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fca230
     2.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc268
     2.08%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd1d4
     1.85%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcb1b4
     1.85%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcb1a0
     1.81%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.78%  sqgi     sqgi                   [.] SQTable::Get
     1.66%  sqgi     sqgi                   [.] sqjit_a64_precise_member
     1.64%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd1c0
     1.43%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fca1c0
     1.43%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc254
     1.31%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.23%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc1ac
     1.23%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.16%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fca244
     1.08%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcb1bc
     1.00%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fca274
     0.89%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fca258
     0.89%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd210
     0.81%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc1c0
     0.77%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc238
     0.69%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd22c
     0.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc224
     0.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcc270
     0.62%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcf2e0
     0.54%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcf264
     0.54%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb8fcd1f8
     0.54%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.50%  sqgi     sqgi                   [.] SQVM::Get
     0.50%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     0.50%  sqgi     libm.so.6              [.] __sin
     0.50%  sqgi     [JIT] tid 486488       [.] 0x0000ffffb91d3224


#
# (Cannot load tips.txt file, please install perf!)
#
