# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7579464466
#
# Overhead  Command  Shared Object          Symbol                                     
# ........  .......  .....................  ...........................................
#
    46.16%  sqgi     sqgi                   [.] SQVM::Execute
    13.37%  sqgi     sqgi                   [.] sqjit_a64_precise_step
     6.12%  sqgi     sqgi                   [.] sqjit_a64_precise_member
     5.68%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     2.58%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.52%  sqgi     sqgi                   [.] SQTable::Get
     2.04%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     1.62%  sqgi     sqgi                   [.] sqjit_try_execute_current
     1.50%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     1.14%  sqgi     sqgi                   [.] SQVM::Return
     1.08%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.02%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     0.96%  sqgi     sqgi                   [.] SQVM::StartCall
     0.90%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.90%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     0.72%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.72%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.66%  sqgi     sqgi                   [.] sqjit_context
     0.66%  sqgi     [JIT] tid 486701       [.] 0x0000ffffacd952e0
     0.60%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged


#
# (Cannot load tips.txt file, please install perf!)
#
