# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12633791768
#
# Overhead  Command  Shared Object                 Symbol                               
# ........  .......  ............................  .....................................
#
    28.25%  sqgi     sqgi                          [.] SQVM::Execute
    25.20%  sqgi     sqgi                          [.] sqjit_a64_precise_step
    11.29%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     8.78%  sqgi     sqgi                          [.] sqjit_a64_precise_member
     3.49%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.26%  sqgi     sqgi                          [.] SQJitWriteLog::~SQJitWriteLog
     2.20%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.76%  sqgi     sqgi                          [.] SQVM::Return
     1.44%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.28%  sqgi     sqgi                          [.] SQVM::StartCall
     1.11%  sqgi     sqgi                          [.] SQJitWriteLog::SQJitWriteLog
     1.08%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.08%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.83%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.83%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.76%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.72%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.61%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.58%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.54%  sqgi     sqgi                          [.] SQVM::IsFalse


#
# (Cannot load tips.txt file, please install perf!)
#
