# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 18522204601
#
# Overhead  Command  Shared Object          Symbol                                 
# ........  .......  .....................  .......................................
#
    53.75%  sqgi     sqgi                   [.] sqjit_a64_precise_step
    18.36%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    15.96%  sqgi     sqgi                   [.] sqjit_a64_precise_member
     2.11%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     1.20%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.17%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.83%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.76%  sqgi     [JIT] tid 486753       [.] 0x0000ffffb73a6904


#
# (Cannot load tips.txt file, please install perf!)
#
