# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 421  of event 'cycles:u'
# Event count (approx.): 1777494110
#
# Overhead  Command  Shared Object            Symbol                                                
# ........  .......  .......................  ......................................................
#
    19.70%  sqgi     sqgi                     [.] SQVM::Execute
     5.38%  sqgi     sqgi                     [.] sqjit_a64_precise_step
     5.11%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     4.86%  sqgi     sqgi                     [.] SQJitWriteLog::~SQJitWriteLog
     4.09%  sqgi     sqgi                     [.] sqjit_try_execute_current
     4.07%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     3.32%  sqgi     sqgi                     [.] sqjit_a64_resolve_root_store_slot
     3.21%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     2.81%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     2.30%  sqgi     sqgi                     [.] SQJitWriteLog::SQJitWriteLog
     2.30%  sqgi     sqgi                     [.] sqjit_on_function_enter
     2.30%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     2.30%  sqgi     sqgi                     [.] sqjit_a64_precise_member
     2.30%  sqgi     sqgi                     [.] SQVM::Return
     2.05%  sqgi     sqgi                     [.] SQVM::StartCall
     2.05%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     2.05%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     2.04%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     1.96%  sqgi     sqgi                     [.] sqjit_a64_write_log_record_member
     1.54%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248e058
     1.54%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     1.53%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248c1bc
     1.53%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.39%  sqgi     sqgi                     [.] sqjit_a64_helper_instance_field_set_integer_logged
     1.09%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248f210
     1.02%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248d18c
     1.02%  sqgi     sqgi                     [.] SQTable::GetRawSlot
     1.02%  sqgi     sqgi                     [.] SQJitWriteLog::OwnerBucket
     0.77%  sqgi     sqgi                     [.] SQObjectPtr::operator=
     0.77%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.77%  sqgi     sqgi                     [.] SQVM::EnterFrame
     0.70%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248f170
     0.65%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     0.51%  sqgi     sqgi                     [.] sqjit_context
     0.51%  sqgi     sqgi                     [.] sqjit_loop_backoff_active
     0.51%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248d194
     0.51%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248c190
     0.51%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248d25c
     0.51%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.51%  sqgi     [JIT] tid 486634         [.] 0x0000ffffa248d280


#
# (Cannot load tips.txt file, please install perf!)
#
