# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 581  of event 'cycles:u'
# Event count (approx.): 2466663865
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    13.27%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    12.27%  sqgi     sqgi                          [.] SQVM::Execute
     7.38%  sqgi     sqgi                          [.] SQTable::Get
     5.40%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.54%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     4.51%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     3.63%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.88%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a67214
     2.87%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.90%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6a2dc
     1.48%  sqgi     sqgi                          [.] SQVM::Get
     1.29%  sqgi     sqgi                          [.] SQVM::Set
     1.29%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.28%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6765c
     1.28%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a673b0
     1.11%  sqgi     sqgi                          [.] SQVM::DerefInc
     0.92%  sqgi     sqgi                          [.] SQTable::Set
     0.92%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6a2b0
     0.91%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6a2c8
     0.74%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a67384
     0.74%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.74%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.74%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6832c
     0.74%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a664d4
     0.74%  sqgi     sqgi                          [.] SQJitWriteLog::Bucket
     0.73%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6a1d4
     0.73%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a671a0
     0.70%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a672f0
     0.55%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.55%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.55%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6a2e4
     0.55%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a69380
     0.55%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a6933c
     0.55%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a692a4
     0.53%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a67734
     0.53%  sqgi     [JIT] tid 550267              [.] 0x0000ffff93a671f8


#
# (Cannot load tips.txt file, please install perf!)
#
