# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 319  of event 'cycles:u'
# Event count (approx.): 1359808883
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    17.63%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     8.63%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     3.01%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf394
     2.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cb254
     2.01%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf684
     1.49%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d41d4
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0ce23c
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cd210
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cc1c8
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf74c
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cd24c
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cb240
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf464
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cd220
     1.34%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf450
     1.01%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d3370
     1.01%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cb1d4
     1.00%  sqgi     sqgi                   [.] native_sqrt
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf8c4
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0ce2b0
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf518
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0ce2c8
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cc1e4
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0ce284
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cd30c
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d32b0
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cc148
     1.00%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf730
     0.99%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d328c
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf754
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d32a8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d341c
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d3428
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d329c
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0ce29c
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf690
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cb1e8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf740
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf520
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf440
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf308
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf6e8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf8a8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf808
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf5c8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf4fc
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf7fc
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cd304
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf8b8
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cc190
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf418
     0.67%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc0cf50c
     0.66%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d34dc
     0.66%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d3368
     0.62%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d41bc
     0.56%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d41ac
     0.52%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d41e0
     0.50%  sqgi     [JIT] tid 550505       [.] 0x0000ffffbc2d4128


#
# (Cannot load tips.txt file, please install perf!)
#
