# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11286155685
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    19.01%  sqgi     sqgi                   [.] SQVM::Execute
     4.81%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.15%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa7579230
     2.61%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c240
     2.46%  sqgi     sqgi                   [.] SQTable::Get
     2.30%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b268
     2.09%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.98%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757a1b4
     1.78%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.70%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757a1a0
     1.69%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c1d4
     1.65%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c1c0
     1.58%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa75791c0
     1.49%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b1ac
     1.37%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa7579244
     1.29%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757a1bc
     1.29%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c248
     1.21%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b254
     1.17%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c1f8
     1.13%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa7579258
     1.13%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b1c0
     1.09%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.05%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.89%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b270
     0.89%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.85%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b238
     0.76%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c22c
     0.69%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa7579274
     0.68%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757c210
     0.65%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757f244
     0.65%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757e264
     0.61%  sqgi     [JIT] tid 550114       [.] 0x0000ffffa757b224
     0.61%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17
     0.57%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.52%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     0.52%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease


#
# (Cannot load tips.txt file, please install perf!)
#
