# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6179298740
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    56.42%  sqgi     sqgi                          [.] SQVM::Execute
     3.61%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.88%  sqgi     sqgi                          [.] SQTable::Get
     2.65%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.65%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.29%  sqgi     sqgi                          [.] sqjit_try_execute_current
     1.99%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.74%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.55%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.47%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.40%  sqgi     sqgi                          [.] SQVM::Return
     1.07%  sqgi     sqgi                          [.] SQVM::StartCall
     0.96%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.93%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.89%  sqgi     sqgi                          [.] SQVM::IsEqual
     0.89%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.81%  sqgi     sqgi                          [.] sqjit_context
     0.74%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.59%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.59%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.59%  sqgi     sqgi                          [.] SQVM::Get
     0.59%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     0.52%  sqgi     [JIT] tid 550329              [.] 0x0000ffff802ad474
     0.52%  sqgi     [JIT] tid 550329              [.] 0x0000ffff802ad590


#
# (Cannot load tips.txt file, please install perf!)
#
