# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9097499416
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    40.07%  sqgi     sqgi                   [.] SQVM::Execute
     9.11%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.94%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     5.41%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     5.16%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.65%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.61%  sqgi     sqgi                   [.] SQVM::Return
     2.60%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.50%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     2.30%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     2.15%  sqgi     sqgi                   [.] SQVM::StartCall
     2.00%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.45%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.00%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.95%  sqgi     sqgi                   [.] sqjit_native_precheck
     0.90%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.87%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.85%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.85%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.85%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.75%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.75%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.65%  sqgi     sqgi                   [.] sqjit_proto_backoff_active
     0.50%  sqgi     sqgi                   [.] SQObjectPtr::operator=


#
# (Cannot load tips.txt file, please install perf!)
#
