# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8038102686
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    13.64%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    11.23%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
    10.14%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     6.28%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     5.76%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.75%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     4.59%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.53%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.23%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.50%  sqgi     sqgi                          [.] SQVM::ObjCmp
     2.36%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.42%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.36%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f35084
     0.91%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f3437c
     0.79%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f353f0
     0.57%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f34de8
     0.51%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f34c04
     0.51%  sqgi     [JIT] tid 550354              [.] 0x0000ffff88f34d84


#
# (Cannot load tips.txt file, please install perf!)
#
