# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 204  of event 'cycles:u'
# Event count (approx.): 869608519
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    12.79%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    12.27%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    11.68%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    10.99%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     7.86%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     6.81%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     5.55%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     4.18%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.10%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a18c
     2.10%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18b1d8
     1.57%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc1891bc
     1.29%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18c210
     1.05%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     1.05%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a240
     1.05%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a250
     1.05%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189220
     1.05%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a25c
     1.05%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.04%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc1891fc
     1.04%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18c238
     0.91%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18c250
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a280
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189190
     0.52%  sqgi     sqgi                   [.] sq_close
     0.52%  sqgi     sqgi                   [.] SQVM::Execute
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189208
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a1bc
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189130
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18913c
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189154
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18c1ac
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a22c
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc1891d8
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18b224
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc189174
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a200
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18b170
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18a268
     0.52%  sqgi     [JIT] tid 550308       [.] 0x0000ffffbc18c120


#
# (Cannot load tips.txt file, please install perf!)
#
