Temporary breakpoint 1 at 0xe574
[Thread debugging using libthread_db enabled]
Using host libthread_db library "/lib/aarch64-linux-gnu/libthread_db.so.1".

Temporary breakpoint 1, 0x0000aaaaaaaae574 in main ()
SCALAR_HELPER_BREAKPOINTS 3
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_owned 3
SCALAR_HELPER_HIT route_owned 4
SCALAR_HELPER_HIT route_owned 5
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_owned 3
SCALAR_HELPER_HIT route_owned 4
SCALAR_HELPER_HIT route_owned 5
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_cached 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_dynamic 6
SCALAR_HELPER_HIT route_owned 3
SCALAR_HELPER_HIT route_owned 4
SCALAR_HELPER_HIT route_owned 5
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
SCALAR_HELPER_HIT route_keys 9
SCALAR_HELPER_HIT route_keys 11
CACHE_ROUTE_OK 12
[sqjit:stats] proto enters=14 hot=6 compile=6 success=4 fail=2
[sqjit:stats] proto exec attempts=14 success=12 guard_fail=0
[sqjit:stats] proto side_exits=0
[sqjit:stats] direct calls attempts=8 success=0 miss=8 guard_fail=0
[sqjit:stats] loops try=5 find_fail=2 compile=1 success=0 fail=1 exec=0 exec_success=0 guard_fail=0
[sqjit:stats] rejects=3 unique_reasons=2
[sqjit:stats] backoff proto=0 proto_skips=0 loop=0 loop_skips=0
[sqjit:stats] reject category count=1 category=loop
[sqjit:stats] reject category count=2 category=other
[sqjit:stats] reject reason count=2 reason=unsupported function shape or instruction limit
[sqjit:stats] reject reason count=1 reason=unsupported loop branch shape
[sqjit:stats] reject_site rank=1 proto=(nil) name=main source=<sqgi async bootstrap> line=-1 ip=-1 count=1 reason=unsupported function shape or instruction limit
[sqjit:stats] reject_site rank=2 proto=(nil) name=main source=/tmp/sqgi-precise-native-cache-study/route/cache.nut line=-1 ip=-1 count=1 reason=unsupported function shape or instruction limit
[sqjit:stats] reject_site rank=3 proto=(nil) name=main source=/tmp/sqgi-precise-native-cache-study/route/cache.nut line=7 ip=63 count=1 reason=unsupported loop branch shape
[Inferior 1 (process 543790) exited normally]
V11_CONTROL_HELPER_HITS 129
