# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 566  of event 'cycles:u'
# Event count (approx.): 2456893438
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.27%  sqgi     sqgi                          [.] SQVM::Execute
    12.99%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     7.44%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     5.63%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.44%  sqgi     sqgi                          [.] SQTable::Get
     4.39%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     3.31%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     2.73%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     1.99%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf36214
     1.85%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.11%  sqgi     sqgi                          [.] SQVM::Get
     1.11%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.08%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf3665c
     1.04%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf391d4
     1.04%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf362f0
     1.03%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     0.93%  sqgi     sqgi                          [.] SQVM::Set
     0.93%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.92%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf361a0
     0.88%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf39238
     0.74%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.74%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf392b0
     0.74%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf38364
     0.74%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.74%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf363b0
     0.74%  sqgi     sqgi                          [.] SQJitWriteLog::Bucket
     0.73%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf361f8
     0.73%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf392dc
     0.73%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf392c8
     0.72%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf3617c
     0.55%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf39220
     0.55%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf38330
     0.55%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf39268
     0.55%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     0.55%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf391dc
     0.55%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.54%  sqgi     [JIT] tid 567794              [.] 0x0000ffffbdf3616c


#
# (Cannot load tips.txt file, please install perf!)
#
