# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 319  of event 'cycles:u'
# Event count (approx.): 1363013184
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                                        
# ........  .......  .....................  ..............................................................................................................................................................................
#
    15.93%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    11.01%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5d1c8
     2.00%  sqgi     sqgi                   [.] native_sqrt
     2.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5c1d4
     1.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63684
     1.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf638cc
     1.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5f22c
     1.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5f2dc
     1.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5f2b0
     1.34%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6374c
     1.33%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6429c
     1.33%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5e2f8
     1.33%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf644e8
     1.27%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf651d4
     1.02%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf651bc
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf634fc
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63698
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63394
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63520
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63740
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5c1e8
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6350c
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf644dc
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6336c
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5e23c
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5e220
     1.00%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf642b0
     0.99%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf64430
     0.99%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.92%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf651e8
     0.91%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf651e0
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63450
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf638c4
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf633a8
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5c158
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf64370
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6337c
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5d1f4
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf64428
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63808
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5f25c
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5c128
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5d288
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cd5c254
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6435c
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf63690
     0.67%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf638b8
     0.66%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf64368
     0.66%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf644f0
     0.66%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf6441c
     0.52%  sqgi     [JIT] tid 568063       [.] 0x0000ffff8cf651c4


#
# (Cannot load tips.txt file, please install perf!)
#
