# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11204039413
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                                                
# ........  .......  .....................  ......................................................................................................................................................................................
#
    20.54%  sqgi     sqgi                   [.] SQVM::Execute
     5.49%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.01%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889ca230
     2.48%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.43%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd1c0
     2.20%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cb1b4
     2.03%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc268
     1.91%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889ca1c0
     1.89%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd1d4
     1.87%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd240
     1.75%  sqgi     sqgi                   [.] SQTable::Get
     1.71%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889ca244
     1.59%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc1ac
     1.46%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.30%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cb1a0
     1.14%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc254
     1.10%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc238
     1.06%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc1c0
     1.02%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.94%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd210
     0.91%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd1f8
     0.90%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc270
     0.77%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889ca274
     0.77%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cb1bc
     0.69%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd248
     0.69%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.65%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cc224
     0.61%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cf2e0
     0.61%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.57%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889ca258
     0.57%  sqgi     sqgi                   [.] sqjit_try_execute_current
     0.57%  sqgi     [JIT] tid 567716       [.] 0x0000ffff88bd3244
     0.53%  sqgi     [JIT] tid 567716       [.] 0x0000ffff889cd22c
     0.53%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
