# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6100001150
#
# Overhead  Command  Shared Object               Symbol                                         
# ........  .......  ..........................  ...............................................
#
    59.13%  sqgi     sqgi                        [.] SQVM::Execute
     3.06%  sqgi     sqgi                        [.] SQTable::Get
     2.76%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.76%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.46%  sqgi     sqgi                        [.] sqjit_try_execute_current
     2.38%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.09%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     1.86%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     1.39%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     1.19%  sqgi     sqgi                        [.] SQVM::Return
     0.97%  sqgi     sqgi                        [.] SQVM::ObjCmp
     0.90%  sqgi     sqgi                        [.] sqjit_try_execute_closure
     0.82%  sqgi     sqgi                        [.] sqjit_loop_header_is_rejected
     0.74%  sqgi     sqgi                        [.] SQVM::IsFalse
     0.67%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.67%  sqgi     sqgi                        [.] SQVM::StartCall
     0.60%  sqgi     sqgi                        [.] sqjit_context
     0.60%  sqgi     sqgi                        [.] SQVM::EnterFrame
     0.60%  sqgi     sqgi                        [.] sqjit_a64_helper_array_set_float_logged
     0.52%  sqgi     sqgi                        [.] SQVM::FallBackGet
     0.52%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease


#
# (Cannot load tips.txt file, please install perf!)
#
