# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8307029814
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    44.27%  sqgi     sqgi                          [.] SQVM::Execute
    10.70%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.69%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.56%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     3.01%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.95%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     2.52%  sqgi     sqgi                          [.] SQVM::Return
     1.98%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.98%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.86%  sqgi     sqgi                          [.] SQVM::StartCall
     1.57%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.43%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.37%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.32%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.10%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.10%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     0.99%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.71%  sqgi     sqgi                          [.] sqjit_native_precheck
     0.66%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.66%  sqgi     sqgi                          [.] sqjit_proto_backoff_active
     0.60%  sqgi     sqgi                          [.] sqjit_context


#
# (Cannot load tips.txt file, please install perf!)
#
