# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6454756972
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    14.66%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     8.67%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     8.64%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     5.51%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     4.80%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.80%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     3.18%  sqgi     sqgi                          [.] SQVM::ObjCmp
     2.47%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe67474
     1.98%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.34%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66424
     1.34%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66490
     1.27%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe6682c
     0.78%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe670f0
     0.78%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66b90
     0.71%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe67154
     0.71%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66f10
     0.71%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66ae0
     0.63%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66354
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe664e8
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66420
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe667c8
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe66690
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe670c0
     0.56%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe664a0
     0.54%  sqgi     [JIT] tid 567872              [.] 0x0000ffff9fe6660c


#
# (Cannot load tips.txt file, please install perf!)
#
