# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 225  of event 'cycles:u'
# Event count (approx.): 894018882
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    14.77%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    14.16%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    11.08%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     8.65%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     6.62%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     6.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     5.09%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     4.46%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     4.07%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52491d8
     1.53%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5247190
     1.53%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5248240
     1.53%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb524818c
     1.53%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52471bc
     1.53%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52491ac
     1.21%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb524a210
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5248250
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5248268
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5248280
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5249224
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5249120
     1.02%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5249170
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5247208
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52482a0
     0.51%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5247220
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52481ac
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52471b0
     0.51%  sqgi     sqgi                   [.] SQNativeClosure::Release
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5248168
     0.51%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52481dc
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb5247178
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52471fc
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb524a158
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb524a1ac
     0.51%  sqgi     [JIT] tid 567824       [.] 0x0000ffffb52471e0


#
# (Cannot load tips.txt file, please install perf!)
#
