# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 580  of event 'cycles:u'
# Event count (approx.): 2462450593
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    15.51%  sqgi     sqgi                   [.] SQVM::Execute
    13.88%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     5.91%  sqgi     sqgi                   [.] SQTable::Get
     5.33%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     4.15%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     3.98%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     3.54%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86414214
     2.54%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.00%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864141a0
     2.00%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.98%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864143b0
     1.84%  sqgi     sqgi                   [.] SQVM::Set
     1.48%  sqgi     sqgi                   [.] SQVM::DerefInc
     1.47%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.10%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864144c0
     1.05%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864172dc
     0.96%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864171d4
     0.92%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     0.92%  sqgi     sqgi                   [.] SQTable::Set
     0.92%  sqgi     sqgi                   [.] SQJitWriteLog::Bucket
     0.89%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864172e4
     0.74%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86416364
     0.74%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86416264
     0.74%  sqgi     [JIT] tid 560065       [.] 0x0000ffff8641532c
     0.56%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86417220
     0.56%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.56%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864172c8
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864151f8
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86416380
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864172b0
     0.55%  sqgi     sqgi                   [.] SQVM::Get
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864134d4
     0.55%  sqgi     libc.so.6              [.] memcmp
     0.55%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864135a4
     0.54%  sqgi     [JIT] tid 560065       [.] 0x0000ffff864142f0
     0.54%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86417278
     0.54%  sqgi     [JIT] tid 560065       [.] 0x0000ffff86414240
     0.53%  sqgi     [JIT] tid 560065       [.] 0x0000ffff8641417c


#
# (Cannot load tips.txt file, please install perf!)
#
