# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 333  of event 'cycles:u'
# Event count (approx.): 1361205292
#
# Overhead  Command  Shared Object                 Symbol                                          
# ........  .......  ............................  ................................................
#
    15.97%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     8.00%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     2.68%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660735c
     2.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff240
     1.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606450
     1.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86604220
     1.42%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866081d4
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866065c8
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866068cc
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606684
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866031c8
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff254
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff1f0
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866074dc
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606698
     1.34%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86605284
     1.33%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86607370
     1.16%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866081bc
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866063a8
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660522c
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606808
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660674c
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866064fc
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606394
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660650c
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866073d8
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866042f8
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660423c
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff1e8
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff260
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866052dc
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660645c
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866052b0
     1.00%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606680
     0.90%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866081e8
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86607358
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660523c
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606464
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866067fc
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86607428
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606810
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866063a0
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866052c8
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606740
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866068a8
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866031e4
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86604210
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff863ff268
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660430c
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866067ec
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86603248
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86604304
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866072a8
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866041f4
     0.67%  sqgi     sqgi                          [.] native_sqrt
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86606708
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660529c
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866065dc
     0.67%  sqgi     [JIT] tid 560298              [.] 0x0000ffff866068c4
     0.66%  sqgi     [JIT] tid 560298              [.] 0x0000ffff8660526c
     0.66%  sqgi     [JIT] tid 560298              [.] 0x0000ffff86607258


#
# (Cannot load tips.txt file, please install perf!)
#
