# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11211768440
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    20.22%  sqgi     sqgi                   [.] SQVM::Execute
     4.71%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.81%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b63230
     2.43%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b66240
     2.28%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b65268
     2.15%  sqgi     sqgi                   [.] SQTable::Get
     1.95%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b641b4
     1.79%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b661c0
     1.75%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.67%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b641a0
     1.61%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b661d4
     1.59%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b63244
     1.55%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b631c0
     1.46%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b651ac
     1.38%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.30%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b66210
     1.13%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b6622c
     1.10%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b65254
     0.98%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b651c0
     0.94%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b63258
     0.93%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b641bc
     0.93%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.85%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b63274
     0.85%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b65224
     0.84%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b66248
     0.81%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.77%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b65238
     0.77%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.73%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b65270
     0.69%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.61%  sqgi     libm.so.6              [.] __sin
     0.61%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b682e0
     0.61%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.60%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b661f8
     0.57%  sqgi     [JIT] tid 559976       [.] 0x0000ffffb1b69244
     0.53%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>


#
# (Cannot load tips.txt file, please install perf!)
#
